Time 8.0s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 7.91s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 7.81s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 7.97s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 7.86s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 7.91s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 7.82s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 8.0s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 7.9s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 7.85s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 7.92s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 10.15s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 10.09s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 10.06s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 10.9s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 11.82s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 10.12s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 10.09s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 10.22s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 10.05s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 10.19s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 10.18s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 10.86s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 10.07s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 10.36s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
